frame,time,knee_angle
0,0.0,169.03381101973233
3,0.1,166.63517290528313
6,0.2,166.42914232251323
9,0.3,165.52559179681492
12,0.4,159.6602602868445
15,0.5,155.8154996566086
18,0.6,145.2011624750311
21,0.7,133.56895565133624
24,0.8,120.7978789462253
27,0.9,111.41179086749038
30,1.0,104.02819308772978
33,1.1,94.22356994898995
36,1.2,88.74777390096217
39,1.3,81.95808465340433
42,1.4,76.16856501421377
45,1.5,75.33472431918624
48,1.6,73.71808840176334
51,1.7,70.97629547689681
54,1.8,73.36582154741723
57,1.9,74.65777111995283
60,2.0,81.62665225602798
63,2.1,83.91208970126567
66,2.2,96.59276836923064
69,2.3,112.03157361720856
72,2.4,120.04642107477991
75,2.5,131.54080914375243
78,2.6,148.53845844538444
81,2.7,160.6707066253611
84,2.8,171.11519141095107
87,2.9,175.12858173436734
90,3.0,173.56318691127467
93,3.1,174.62897798648967
96,3.2,172.79408714688466
99,3.3,171.54115088743035
102,3.4,173.57379766466659
105,3.5,173.59656918065483
108,3.6,173.3134163212359
111,3.7,173.6514848788754
114,3.8,172.30565154795522
117,3.9,169.44294618388338
120,4.0,163.29241887240997
123,4.1,157.9939145601361
126,4.2,143.49530083898824
129,4.3,127.62692439633143
132,4.4,125.94232117348857
135,4.5,117.3473993077508
138,4.6,109.01487350761434
141,4.7,101.78376630511453
144,4.8,95.60865880343539
147,4.9,92.5531355533454
150,5.0,87.21254354929341
153,5.1,83.82248392573833
156,5.2,80.77270138397716
159,5.3,77.93442824882419
162,5.4,76.73303839093069
165,5.5,71.9886031783535
168,5.6,69.72564587189548
171,5.7,76.88413453390255
174,5.8,81.04677329987543
177,5.9,89.54981876700779
180,6.0,108.1757783550547
183,6.1,119.70470475915666
186,6.2,131.5064298065142
189,6.3,145.58224538622693
192,6.4,159.71394221837468
195,6.5,171.28704324637476
198,6.6,179.77477000048899
201,6.7,172.71626005522103
204,6.8,173.69845452648303
207,6.9,174.56823320818123
210,7.0,176.18791577390502
213,7.1,174.27784497398287
216,7.2,174.51390021569853
219,7.3,174.62406618861135
222,7.4,171.2380231888702
225,7.5,176.46486006715577
228,7.6,175.9659762712416
231,7.7,172.64547322438798
234,7.8,170.90519817227198
237,7.9,173.00410878604066
240,8.0,172.36092925116773
243,8.1,173.95330483086195
246,8.2,171.2466955394952
249,8.3,172.20851784640587
252,8.4,164.65121626554316
255,8.5,157.26557053972022
258,8.6,143.9332574350889
261,8.7,129.77074475965546
264,8.8,120.50481686823646
267,8.9,109.34302044984929
270,9.0,105.29052722343235
273,9.1,93.13375630194874
276,9.2,88.77508342189141
279,9.3,80.52880707692604
282,9.4,79.6516064152591
285,9.5,76.74118151317555
288,9.6,72.64915615521511
291,9.7,70.06563964631523
294,9.8,65.12916699968132
297,9.9,69.69866647442534
300,10.0,69.03311240635999
303,10.1,80.43845197913286
306,10.2,86.70924639080535
309,10.3,96.81242081606393
312,10.4,108.11716075908116
315,10.5,111.40064980568836
318,10.6,120.4880396953814
321,10.7,128.0209248963486
324,10.8,141.7279418766325
